StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2009-85863,Tanney Oles,6 10 1996,Anthropology,Business,102
2016-79057,Armand Anstiss,4 07 1991,Nursing,Biology,20
2000-47413,Annissa Vany,14 05 1997,Criminal Justice,Political Science,127
2001-75932,Christean Grinyer,15 04 1999,Sociology,Biology,93
2013-78611,Jelene Brewis,3 03 1999,Mathematics,Sociology,9
2008-21802,Garey Rivenzon,27 10 1990,Education,Music,38
2016-83128,Valentino Trever,17 03 1999,Education,Mathematics,29
2001-97751,Juliana Balasini,21 01 1986,Computer Science,Art History,66
2000-57738,Leif Trounson,2 08 2005,Sociology,Psychology,6
2001-77750,Cele Clyma,26 06 1993,Mathematics,Psychology,200
2018-20943,Edwin McCutheon,12 09 1995,Sociology,Psychology,26
2015-28459,Jenica Newbigging,18 11 1986,Environmental Science,Engineering,18
2002-44031,Robby Mohamed,11 09 1997,Graphic Design,Sociology,149
2006-55017,Lotte Anselmi,27 04 1983,Sociology,Engineering,104
2021-79944,Odo Castenda,30 05 1987,Psychology,Mathematics,156
2023-46216,Cathrin Elvins,18 11 1992,Communications,Political Science,127
2000-10480,Hamnet Krug,24 10 2001,Education,Political Science,9
2005-38046,Lynelle Hagergham,27 07 1982,Business Administration,Sociology,7
2010-91387,Link Flute,25 11 2003,Anthropology,Music,171
2006-18730,Meggi Bootman,20 09 2006,Engineering,Engineering,139
2000-24624,Karlens Odcroft,18 07 1997,English Literature,Business,156
2019-22552,Ki Ruselin,24 04 1999,History,Political Science,91
2012-10844,Tymothy Tousey,10 01 1985,Criminal Justice,Mathematics,105
2005-81150,Cherrita Plain,11 12 1985,Environmental Science,Sociology,95
2011-70392,Davina Huie,3 11 1986,Mathematics,Engineering,49
2014-10233,Bren Trinkwon,25 01 1992,Psychology,Engineering,158
2007-63391,Thomas Gazzard,1 01 1990,Biology,Sociology,101
2016-53401,Warren Cardoo,30 01 2003,Sociology,Sociology,149
2008-96526,Malinda Heasman,6 07 1985,Psychology,Music,98
2019-95421,Sampson Grzegorczyk,1 04 1982,Mathematics,Engineering,169
2000-82133,Julianna Bravey,21 11 2001,Art History,Business,196
2012-90814,Christal Emanueli,13 10 1997,Marketing,Biology,20
2006-47789,Fan Wagerfield,5 08 1984,Anthropology,Engineering,150
2018-95276,Harald Colquyte,18 04 1997,Psychology,Political Science,56
2014-91019,Hilary Wolverson,28 03 1996,Sociology,Engineering,8
2002-59900,Sallyanne Buncher,10 03 2004,English Literature,Political Science,48
2006-11999,Halsey Farnsworth,17 07 1999,Graphic Design,Psychology,196
2013-10326,Micaela Bleackly,18 03 1982,Anthropology,Music,75
2010-69100,Nicolis Olivia,19 10 1989,Communications,Political Science,79
2018-82426,Chase Kemmis,14 12 1997,Sociology,Business,10
2006-59679,Windham Simkovitz,20 05 1999,Graphic Design,Engineering,111
2022-36420,Colin Linguard,18 03 1996,Biology,Art History,99
2012-98713,Barnabas Crayden,16 03 1989,Nursing,Biology,4
2017-63622,Rubia Tremouille,29 04 1989,Anthropology,Art History,34
2015-40396,Terrie Lawford,7 04 2005,Communications,Business,42
2004-49736,Jeanna Jeandeau,3 06 1984,Music,Biology,78
2015-62751,Sal Jardine,26 09 1994,English Literature,Sociology,171
2013-95091,Krysta Burdytt,29 05 2006,Psychology,Engineering,185
2017-19172,Rochell Perott,17 01 2002,Computer Science,Mathematics,34
2005-85623,Lindy Greensted,31 01 2001,Business Administration,Sociology,129
2009-63673,Archaimbaud Chinge,28 03 1984,Business Administration,Music,47
2018-11396,Far O'Hegertie,25 12 1997,English Literature,Political Science,110
2013-90283,Saundra Guillerman,27 11 1991,Business Administration,Music,7
2014-56749,Brien Ledwitch,17 09 2003,Mathematics,Art History,114
2023-63460,Ulrika Wallbrook,6 08 1991,Anthropology,Business,30
2010-31878,Ash Fern,12 08 1993,History,Music,172
2012-26562,Norina Robbe,26 07 1984,Business Administration,Music,168
2009-84626,Smitty Fawdry,7 11 2006,Environmental Science,Engineering,133
2022-92141,Dulcia Scolts,20 05 2000,Environmental Science,Biology,138
2023-74803,Liva Beathem,30 11 1986,Communications,Computer Science,121
2024-36177,Darcy Spellsworth,19 06 1996,Computer Science,Sociology,163
2001-92460,Raine Kerford,24 03 2001,Nursing,Biology,108
2002-76017,Maurise Starking,31 07 2001,Engineering,Music,85
2000-68492,Tommie Jimpson,7 08 1989,Anthropology,Sociology,105
2003-18671,Mercedes Bampfield,9 02 1997,Psychology,Biology,54
2002-23908,Kerrin Abelovitz,10 09 2001,Graphic Design,Business,132
2009-40283,Dyane Cambridge,5 10 2000,Environmental Science,Art History,34
2016-64899,Scarface Ghiraldi,2 12 1987,Mathematics,Computer Science,191
2010-85043,Gonzalo Colebrook,7 07 1999,English Literature,Political Science,172
2004-62218,Allyn Witheford,18 07 1999,Nursing,Sociology,93
2018-79528,Ruby Matyas,20 10 1993,Marketing,Music,108
2004-98437,Wynne Ellph,20 05 2005,English Literature,Business,135
2006-96704,Ardath Waterstone,17 04 1992,Anthropology,Political Science,124
2004-84665,Hewe Ladewig,18 10 1995,Engineering,Computer Science,138
2013-30500,Jamie Lebreton,24 03 2002,Environmental Science,Biology,19
2013-49258,Cherrita Mulvagh,22 10 1993,Business Administration,Psychology,168
2015-62466,Bird Sambrok,13 09 1982,Environmental Science,Art History,91
2000-54853,Constantino Ickowicz,15 09 1989,Business Administration,Mathematics,153
2019-93679,Vitia Elizabeth,16 08 2000,Nursing,Political Science,34
2001-92201,Kamila Spoor,13 09 1999,Engineering,Sociology,38
2002-30535,Colan Bascomb,11 10 2001,Business Administration,Engineering,180
2014-63060,Wilhelm Thirwell,13 11 1996,Political Science,Music,196
2002-33374,Debby Petranek,13 12 1984,Communications,Music,198
2023-29812,Lindsay Polet,12 08 1986,Engineering,Mathematics,52
2005-38860,Grover Kleinstein,17 10 2001,Environmental Science,Music,75
2002-68147,Sascha Whiten,28 12 1993,Engineering,Computer Science,33
2021-55918,Temp Whelpdale,12 02 2002,English Literature,Computer Science,122
2011-55543,Euphemia Walewski,23 12 1988,Criminal Justice,Business,40
2017-61279,Ivonne Dannett,23 09 1998,Computer Science,Art History,137
2010-86419,Annetta Forst,23 03 2005,Political Science,Business,127
2006-34748,Constantine Hebblethwaite,9 01 1995,Communications,Art History,178
2013-93655,Davey Figg,24 01 1988,Nursing,Biology,196
2006-37780,Nichol Febry,12 07 1999,Engineering,Mathematics,21
2016-94808,Breanne Blancowe,8 11 2003,Education,Music,132
2000-22804,Kizzie Lovie,27 11 1994,Environmental Science,Computer Science,20
2004-35320,Lisle McAllan,31 12 1994,Education,Sociology,27
2011-75992,Yves Siderfin,23 02 1989,Biology,Psychology,148
2021-77089,Adrian Capoun,22 03 1986,Criminal Justice,Business,104
2014-34638,Erny Rowet,28 10 1989,Psychology,Biology,154
2022-45300,Caldwell McIntosh,28 06 1994,History,Political Science,147
2007-75987,Nataniel Garbutt,8 04 1988,Psychology,Art History,189
2019-61220,Raynor Bungey,2 08 1992,Political Science,Engineering,190
2012-25649,Benny Brake,6 04 1995,Communications,Biology,86
2009-78226,Abramo Peterken,28 09 1988,Marketing,Mathematics,33
2024-49967,Gram Casely,3 02 1996,Marketing,Biology,60
2017-99639,Brandy Ainge,7 04 1987,Psychology,Art History,89
2018-38088,Indira Sheircliffe,22 05 1993,Art History,Engineering,96
2015-43510,Rosalie McElvine,27 12 1983,Biology,Mathematics,165
2024-73885,Cecil Galgey,2 12 2004,Sociology,Music,92
2014-29004,Lexine Lethibridge,19 11 1992,English Literature,Computer Science,189
2006-66530,Sammie Van der Kruys,25 05 1988,History,Psychology,194
2004-12487,Tore Ridde,22 07 1990,Biology,Psychology,102
2018-52576,Whitby Paget,9 12 1982,Criminal Justice,Biology,152
2021-25312,Elisabet Woolmington,8 02 2003,Nursing,Music,177
2010-14865,Grace Gossage,11 06 2005,Mathematics,Biology,23
2012-94594,Sher MacCallester,9 01 1985,Education,Computer Science,111
2015-26237,Wendi Jenken,28 02 2003,Sociology,Music,194
2006-90619,Noam Northing,10 01 1987,Graphic Design,Music,156
2007-38349,Sharla Cartan,2 12 1986,Psychology,Mathematics,83
2021-26400,Herold Beynke,27 06 1982,Environmental Science,Psychology,88
2016-15592,Bastian Swyn,19 08 1998,Anthropology,Computer Science,153
2004-92843,Blake Dincke,6 05 1992,Music,Biology,132
2018-63735,Madelene Tschierasche,6 02 2003,Communications,Sociology,32
2001-28218,Philip Wilse,23 04 1993,Marketing,Engineering,196
2018-97758,Millicent Riddick,14 05 1991,History,Mathematics,125
2012-15905,Denis Dearan,21 07 1991,Sociology,Political Science,197
2007-61539,Irvin Lowsely,1 09 1994,Mathematics,Music,66
2008-54023,Kayne Toun,26 01 1988,Sociology,Psychology,198
2000-73317,Ayn Stovold,6 12 2001,Criminal Justice,Art History,118
2007-10776,Fredrick Liddy,7 10 1986,Graphic Design,Computer Science,94
2016-57236,Rick Guerrin,30 06 1995,Education,Mathematics,38
2006-32260,Glenn McClure,22 07 2005,Marketing,Art History,43
2014-62046,Erich Fonso,2 09 2002,Biology,Political Science,194
2001-65701,Henka Bea,23 07 2006,Art History,Music,5
2012-25317,Marnia Lermouth,14 11 1999,Business Administration,Psychology,200
2022-96934,Minerva Splevin,24 03 2000,Mathematics,Music,22
2017-72358,Lyda Brantl,29 03 1993,Biology,Engineering,172
2005-35980,Alick McLuckie,27 11 2005,Criminal Justice,Biology,96
2005-12722,Shay Filippucci,9 09 2005,Psychology,Sociology,28
2015-25283,Julian Cranage,2 02 1997,Environmental Science,Sociology,148
2016-58625,Mariya O'Suaird,25 06 1993,Nursing,Mathematics,131
2011-74657,Peirce Smidmor,16 10 1988,Biology,Art History,35
2012-91982,Pier Morris,31 05 2001,Political Science,Mathematics,26
2013-75989,Candide Paulat,19 02 1989,Mathematics,Mathematics,122
2018-59628,Gavrielle Witham,10 12 1991,Political Science,Business,140
2013-24411,Corny Biagioni,25 11 1993,Anthropology,Computer Science,48
2000-19100,Nickolai Collie,11 05 1989,Marketing,Music,46
2019-60014,Kamila Tipperton,1 07 2000,Political Science,Mathematics,105
2008-99643,Julio Hartin,30 08 1990,Communications,Sociology,57
2022-97195,Jody Stoggell,29 11 1985,Anthropology,Music,160
2023-67320,Melva Kent,23 02 1998,Business Administration,Computer Science,142
2019-96124,Annamarie Conisbee,4 07 2004,Political Science,Music,150
2007-71590,Kim Stollsteimer,10 08 1983,Nursing,Mathematics,175
2003-28419,Con Criag,25 07 1986,Psychology,Engineering,38
2006-32036,Naoma Scowcroft,30 08 1984,Mathematics,Political Science,163
2014-73455,Ivonne Yanson,14 09 1987,Nursing,Music,181
2011-55092,Lemar Kelson,21 02 1990,English Literature,Music,91
2018-39934,Corina Munning,17 11 1992,History,Psychology,138
2007-46614,Ninette Drewell,14 12 1988,Education,Biology,31
2020-51630,Shani Greengrass,21 08 2000,Political Science,Business,33
2014-46457,Kimmie Duncan,14 08 1993,Education,Music,140
2009-48895,Shena Munt,1 03 1986,Psychology,Psychology,62
2015-42747,Brunhilde Gulston,27 08 1992,Computer Science,Political Science,53
2015-63311,Simonne Langmaid,30 07 1982,Art History,Music,160
2004-79507,Nickolai Barthot,9 01 2000,Environmental Science,Art History,130
2012-80534,Fannie Gier,31 10 2005,Business Administration,Art History,9
2001-54172,Neil Parkisson,13 05 1994,Mathematics,Music,133
2000-39783,Freda Oluwatoyin,10 01 1992,Anthropology,Music,82
2020-27506,Cherie Helin,18 03 1994,Engineering,Music,142
2014-89503,Farleigh Mannix,21 11 1997,Music,Engineering,171
2021-66350,Roseann Camoys,28 08 1994,Graphic Design,Mathematics,62
2002-47054,Torrin Ginnety,2 10 1995,Sociology,Art History,1
2002-53418,Gregorius Faull,12 06 2003,Psychology,Computer Science,172
2016-12423,Moritz Morat,30 01 2003,Education,Art History,155
2021-81207,Wilbert Moulster,19 10 2006,Marketing,Art History,63
2011-68734,Benita Flement,2 06 1989,Political Science,Psychology,121
2008-47653,Cornelius Lillee,24 12 1998,Art History,Psychology,132
2008-69442,Robinetta Wennam,13 08 1985,Music,Music,46
2017-37485,Noll Arnaudi,3 10 2006,Sociology,Sociology,58
2003-41230,Brockie Bailes,7 04 2005,Psychology,Music,138
